ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/lichen/30016373	species	Agonimia opuntiella (Buschardt & Poelt) Vězda		Agonimia	opuntiella		(Buschardt & Poelt) Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30021878	species	Agonimia papillata (O.E.Erikss.) Diederich & Aptroot		Agonimia	papillata		(O.E.Erikss.) Diederich & Aptroot	botanical	
https://id.biodiversity.org.au/name/lichen/30016374	species	Agonimia tristicula (Nyl.) Zahlbr.		Agonimia	tristicula		(Nyl.) Zahlbr.	botanical	
https://id.biodiversity.org.au/name/lichen/30016224	family	Agyriaceae	Agyriaceae					botanical	
https://id.biodiversity.org.au/name/lichen/30016223	order	Agyriales	Agyriales					botanical	
https://id.biodiversity.org.au/name/lichen/30016375	genus	Agyrium Fr.	Agyrium				Fr.	botanical	
https://id.biodiversity.org.au/name/lichen/30016376	species	Agyrium rufum (Pers.) Fr.		Agyrium	rufum		(Pers.) Fr.	botanical	
https://id.biodiversity.org.au/name/lichen/30023776	genus	Agyrophora Nyl.	Agyrophora				Nyl.	botanical	
https://id.biodiversity.org.au/name/lichen/30023775	species	Agyrophora subglabra (Nyl.) Llano		Agyrophora	subglabra		(Nyl.) Llano	botanical	
https://id.biodiversity.org.au/name/lichen/30016377	genus	Ainoa Lumbsch & I.Schmitt	Ainoa				Lumbsch & I.Schmitt	botanical	
https://id.biodiversity.org.au/name/lichen/30016378	species	Ainoa mooreana (Carroll) Lumbsch & I.Schmitt		Ainoa	mooreana		(Carroll) Lumbsch & I.Schmitt	botanical	
https://id.biodiversity.org.au/name/lichen/30016379	genus	Alectoria Ach.	Alectoria				Ach.	botanical	
https://id.biodiversity.org.au/name/lichen/30023101	species	Alectoria lanata (Neck.) Nyl.		Alectoria	lanata		(Neck.) Nyl.	botanical	
https://id.biodiversity.org.au/name/lichen/30016380	species	Alectoria nigricans (Ach.) Nyl.		Alectoria	nigricans		(Ach.) Nyl.	botanical	
https://id.biodiversity.org.au/name/lichen/30023100	species	Alectoria pubescens (L.) R.Howe		Alectoria	pubescens		(L.) R.Howe	botanical	
https://id.biodiversity.org.au/name/lichen/30016251	family	Alectoriaceae	Alectoriaceae					botanical	
https://id.biodiversity.org.au/name/lichen/30241071	genus	Allographa Chevall.	Allographa				Chevall.	botanical	
https://id.biodiversity.org.au/name/lichen/30238180	genus	Amandinea (Nyl.) M.Choisy ex Scheid. & H.Mayrhofer	Amandinea				(Nyl.) M.Choisy ex Scheid. & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30016381	genus	Amandinea M.Choisy ex Scheid. & H.Mayrhofer	Amandinea				M.Choisy ex Scheid. & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30174213	species	Amandinea australasica Blaha, H.Mayrhofer & Elix		Amandinea	australasica		Blaha, H.Mayrhofer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30174362	species	Amandinea austroconiops Elix & Kantvilas		Amandinea	austroconiops		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30241188	species	Amandinea bittangabeensis Elix & P.M.McCarthy		Amandinea	bittangabeensis		Elix & P.M.McCarthy	botanical	
https://id.biodiversity.org.au/name/lichen/30174512	species	Amandinea brunneola Elix & H.Mayrhofer		Amandinea	brunneola		Elix & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30016382	species	Amandinea conglomerata Elix & Kantvilas		Amandinea	conglomerata		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30016383	species	Amandinea coniops (Wahlenb.) M.Choisy ex Scheid. & H.Mayrhofer		Amandinea	coniops		(Wahlenb.) M.Choisy ex Scheid. & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30230635	species	Amandinea conranensis Elix & P.M.McCarthy		Amandinea	conranensis		Elix & P.M.McCarthy	botanical	
https://id.biodiversity.org.au/name/lichen/30016384	species	Amandinea decedens (Nyl.) Blaha & H.Mayrhofer		Amandinea	decedens		(Nyl.) Blaha & H.Mayrhofer	botanical	nom. inval.
https://id.biodiversity.org.au/name/lichen/30174662	species	Amandinea decedens (Nyl.) Blaha, H.Mayrhofer & Elix		Amandinea	decedens		(Nyl.) Blaha, H.Mayrhofer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30175506	species	Amandinea destituta Elix & Kantvilas		Amandinea	destituta		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30016385	species	Amandinea devilliersiana Elix & Kantvilas		Amandinea	devilliersiana		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30240260	species	Amandinea diorista (Nyl.) Marbach		Amandinea	diorista		(Nyl.) Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30016387	variety	Amandinea diorista (Nyl.) Marbach var. diorista		Amandinea	diorista	diorista		botanical	
https://id.biodiversity.org.au/name/lichen/30175801	variety	Amandinea diorista var. hypopelidna Marbach & Kalb		Amandinea	diorista	hypopelidna	Marbach & Kalb	botanical	
https://id.biodiversity.org.au/name/lichen/30016388	species	Amandinea dudleyensis Kantvilas & Elix		Amandinea	dudleyensis		Kantvilas & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016389	species	Amandinea efflorescens (Müll.Arg.) Marbach		Amandinea	efflorescens		(Müll.Arg.) Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30240275	variety	Amandinea efflorescens (Müll.Arg.) Marbach var. efflorescens		Amandinea	efflorescens	efflorescens		botanical	
https://id.biodiversity.org.au/name/lichen/30016386	variety	Amandinea efflorescens var. pseudohypopelidna Marbach		Amandinea	efflorescens	pseudohypopelidna	Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30021168	species	Amandinea endachroa (Malme) Marbach		Amandinea	endachroa		(Malme) Marbach	botanical	
