taxonID	scientificName	taxonomicStatus	acceptedNameUsage
https://id.biodiversity.org.au/instance/lichen/30054323	Parmelia subrudecta Nyl.	nomenclatural synonym	Punctelia subrudecta (Nyl.) Krog
https://id.biodiversity.org.au/instance/lichen/30238076	Relicinopsis Elix & Verdon	taxonomic synonym	Relicina (Hale & Kurok.) Hale
https://id.biodiversity.org.au/instance/lichen/30054345	Parmelia abstrusa Vain.	nomenclatural synonym	Relicina abstrusa (Vain.) Hale
https://id.biodiversity.org.au/instance/lichen/30054346	Parmelia circumnodata Nyl.	nomenclatural synonym	Relicina circumnodata (Nyl.) Hale
https://id.biodiversity.org.au/instance/lichen/30052999	Parmelia butleri Elix	taxonomic synonym	Relicina connivens (Kurok.) Hale
https://id.biodiversity.org.au/instance/lichen/30053000	Relicina butleri (Elix) Elix & J.Johnst.	taxonomic synonym	Relicina connivens (Kurok.) Hale
https://id.biodiversity.org.au/instance/lichen/30231792	Parmelia intertexta Mont. & Bosch	nomenclatural synonym	Relicina intertexta (Mont. & Bosch) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231793	Pseudoparmelia intertexta (Mont. & Bosch) Hale	nomenclatural synonym	Relicina intertexta (Mont. & Bosch) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231794	Relicinopsis intertexta (Mont. & Bosch) Elix & Verdon	nomenclatural synonym	Relicina intertexta (Mont. & Bosch) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231795	Parmelia gracilis Müll.Arg.	taxonomic synonym	Relicina intertexta (Mont. & Bosch) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231796	Parmelia gracilenta Vain.	taxonomic synonym	Relicina intertexta (Mont. & Bosch) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30054347	Parmelia limbata Laurer	nomenclatural synonym	Relicina limbata (Laurer) Hale
https://id.biodiversity.org.au/instance/lichen/30053002	Parmelia sphaerospora C.Knight	taxonomic synonym	Relicina limbata (Laurer) Hale
https://id.biodiversity.org.au/instance/lichen/30053003	Parmelia insinuata Nyl.	taxonomic synonym	Relicina limbata (Laurer) Hale
https://id.biodiversity.org.au/instance/lichen/30231803	Relicinopsis malaccensis (Nyl.) Elix & Verdon	nomenclatural synonym	Relicina malaccensis (Nyl.) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231813	Parmelia rahengensis Vain.	nomenclatural synonym	Relicina rahengensis (Vain.) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231811	Relicinopsis rahengensis (Vain.) Elix & Verdon	nomenclatural synonym	Relicina rahengensis (Vain.) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30231814	Pseudoparmelia rahengensis (Vain.) Hale	nomenclatural synonym	Relicina rahengensis (Vain.) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30054348	Parmelia relicinula Müll.Arg.	nomenclatural synonym	Relicina relicinula (Müll.Arg.) Hale
https://id.biodiversity.org.au/instance/lichen/30054349	Parmelia samoensis Zahlbr.	nomenclatural synonym	Relicina samoensis (Zahlbr.) Hale
https://id.biodiversity.org.au/instance/lichen/30231823	Relicinopsis stevensiae Elix & J.Johnst.	nomenclatural synonym	Relicina stevensiae (Elix & J.Johnst.) Kirika, Divakar & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30054350	Parmelia subabstrusa Gyeln.	nomenclatural synonym	Relicina subabstrusa (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30053007	Parmelia limbata f. endococcinea Müll.Arg.	taxonomic synonym	Relicina subabstrusa (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30053008	Parmelia endococcinea (Müll.Arg.) Gyeln.	taxonomic synonym	Relicina subabstrusa (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30054351	Parmelia sublanea Kurok.	nomenclatural synonym	Relicina sublanea (Kurok.) Hale
https://id.biodiversity.org.au/instance/lichen/30054352	Parmelia sydneyensis Gyeln.	nomenclatural synonym	Relicina sydneyensis (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30053011	Parmelia limbata f. isidiosa Müll.Arg.	taxonomic synonym	Relicina sydneyensis (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30053012	Parmelia tumescens Hale & Kurok.	taxonomic synonym	Relicina sydneyensis (Gyeln.) Hale
https://id.biodiversity.org.au/instance/lichen/30053019	Hypotrachyna costaricensis (Nyl.) Hale	nomenclatural synonym	Remototrachyna costaricensis (Nyl.) Divakar & Crespo
