scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/lichen/30019102	Phaeographis litoralis (A.W.Archer) A.W.Archer	https://id.biodiversity.org.au/name/lichen/30022912	Phaeographina litoralis A.W.Archer
https://id.biodiversity.org.au/name/lichen/30019108	Phaeographis subintricata (C.Knight) Müll.Arg.	https://id.biodiversity.org.au/name/lichen/30022914	Graphis subintricata C.Knight
https://id.biodiversity.org.au/name/lichen/30019110	Phaeographis wilsonii (A.W.Archer) A.W.Archer	https://id.biodiversity.org.au/name/lichen/30022921	Phaeographina wilsonii A.W.Archer
https://id.biodiversity.org.au/name/lichen/30019114	Phaeophyscia endococcinodes (Poelt) Essl.	https://id.biodiversity.org.au/name/lichen/30022923	Physcia endococcinodes Poelt
https://id.biodiversity.org.au/name/lichen/30023681	Phaeotrema expansum (C.Knight) Shirley	https://id.biodiversity.org.au/name/lichen/30020090	Thelotrema expansum C.Knight
https://id.biodiversity.org.au/name/lichen/30023682	Phaeotrema lacteum (Kremp.) Müll.Arg.	https://id.biodiversity.org.au/name/lichen/30020095	Thelotrema lacteum Kremp.
https://id.biodiversity.org.au/name/lichen/30022928	Phlyctella subuncinata (Stirt.) D.J.Galloway	https://id.biodiversity.org.au/name/lichen/30019122	Phlyctis subuncinata Stirt.
https://id.biodiversity.org.au/name/lichen/30019129	Phylloblastia borhidii (Farkas & Vězda) Lücking	https://id.biodiversity.org.au/name/lichen/30022931	Macentina borhidii Farkas & Vězda
https://id.biodiversity.org.au/name/lichen/30019134	Phylloblastia mucronata (P.M.McCarthy) Lücking	https://id.biodiversity.org.au/name/lichen/30022933	Pocsia mucronata P.M.McCarthy
https://id.biodiversity.org.au/name/lichen/30019135	Phylloblastia septemseptata (Vězda) Lücking	https://id.biodiversity.org.au/name/lichen/30022934	Pocsia septemseptata Vězda
https://id.biodiversity.org.au/name/lichen/30019136	Phylloblastia triseptata (Kalb & Vězda) Lücking	https://id.biodiversity.org.au/name/lichen/30022935	Pocsia triseptata Kalb & Vězda
https://id.biodiversity.org.au/name/lichen/30019138	Phyllogyalidea epiphylla (Vězda) Lücking & Aptroot	https://id.biodiversity.org.au/name/lichen/30022936	Gyalidea epiphylla Vězda
https://id.biodiversity.org.au/name/lichen/30019169	Physcia adscendens (Fr.) H.Olivier	https://id.biodiversity.org.au/name/lichen/30022944	Parmelia stellaris var. adscendens Fr.
https://id.biodiversity.org.au/name/lichen/30019170	Physcia albata (F.Wilson) Hale	https://id.biodiversity.org.au/name/lichen/30022946	Parmelia albata F.Wilson
https://id.biodiversity.org.au/name/lichen/30019176	Physcia clementei (Sm.) Lynge	https://id.biodiversity.org.au/name/lichen/30022949	Lichen clementei Sm.
