ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	nomenclaturalCode	status	code
https://id.biodiversity.org.au/name/fungi/60020614	species	Acremonium terricola (J.H.Mill., Giddens & A.A.Foster) W.Gams		Acremonium	terricola		(J.H.Mill., Giddens & A.A.Foster) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020623	species	Acremonium zonatum (Sawada) W.Gams		Acremonium	zonatum		(Sawada) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60085015	genus	Acrocalymma Alcorn & J.A.G.Irwin	Acrocalymma				Alcorn & J.A.G.Irwin	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60085018	species	Acrocalymma cycadis Crous & R.G.Shivas		Acrocalymma	cycadis		Crous & R.G.Shivas	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60085013	family	Acrocalymmaceae Crous & Trakun.	Acrocalymmaceae				Crous & Trakun.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013758	genus	Acroconidiella J.C.Lindq. & Alippi	Acroconidiella				J.C.Lindq. & Alippi	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60016698	species	Acroconidiella tropaeoli (T.E.T.Bond) J.C.Lindq. & Alippi		Acroconidiella	tropaeoli		(T.E.T.Bond) J.C.Lindq. & Alippi	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014001	genus	Acrocordiopsis Borse & K.D.Hyde	Acrocordiopsis				Borse & K.D.Hyde	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018040	species	Acrocordiopsis patilii Borse & K.D.Hyde		Acrocordiopsis	patilii		Borse & K.D.Hyde	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014142	genus	Acrodictys M.B.Ellis	Acrodictys				M.B.Ellis	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018873	species	Acrodictys queenslandica Matsush.		Acrodictys	queenslandica		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60019139	species	Acrodictys viridescens B.Sutton & Alcorn		Acrodictys	viridescens		B.Sutton & Alcorn	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018874	species	Acrodontium crateriforme (J.F.H.Beyma) de Hoog		Acrodontium	crateriforme		(J.F.H.Beyma) de Hoog	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014143	genus	Acrodontium de Hoog	Acrodontium				de Hoog	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60085047	species	Acrodontium neolitseae Crous & Summerell		Acrodontium	neolitseae		Crous & Summerell	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013893	genus	Acrogenospora M.B.Ellis	Acrogenospora				M.B.Ellis	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017601	species	Acrogenospora sphaerocephala (Berk. & Broome) M.B.Ellis		Acrogenospora	sphaerocephala		(Berk. & Broome) M.B.Ellis	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013898	genus	Acrogenotheca Cif. & Bat.	Acrogenotheca				Cif. & Bat.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017610	species	Acrogenotheca elegans (Fraser) Cif. & Bat.		Acrogenotheca	elegans		(Fraser) Cif. & Bat.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014144	genus	Acrophialophora Edward	Acrophialophora				Edward	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018876	species	Acrophialophora fusispora (S.B.Saksena) Samson		Acrophialophora	fusispora		(S.B.Saksena) Samson	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015856	genus	Acrospeira Berk. & Broome	Acrospeira				Berk. & Broome	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017647	species	Acrospeira asperospora (Cooke & Massee) Wiltshire		Acrospeira	asperospora		(Cooke & Massee) Wiltshire	botanical		botanical
