ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/ausmoss/209831	species	Allisoniella nigra (Rodway) R.M.Schust.		Allisoniella	nigra		(Rodway) R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/234292	subspecies	Allisoniella nigra (Rodway) R.M.Schust. subsp. nigra		Allisoniella	nigra	nigra		botanical	
https://id.biodiversity.org.au/name/ausmoss/209832	species	Allisoniella tasmanica R.M.Schust.		Allisoniella	tasmanica		R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/4905322	genus	Allorgella Tixier	Allorgella				Tixier	botanical	
https://id.biodiversity.org.au/name/ausmoss/4905666	species	Allorgella australiensis (B.M.Thiers) Bechteler, G.E.Lee, Schaf.-Verw. & Heinrichs		Allorgella	australiensis		(B.M.Thiers) Bechteler, G.E.Lee, Schaf.-Verw. & Heinrichs	botanical	
https://id.biodiversity.org.au/name/ausmoss/4905492	species	Allorgella semperiana (Gottsche ex Steph.) Bechteler, G.E.Lee, Schaf.-Verw. & Heinrichs		Allorgella	semperiana		(Gottsche ex Steph.) Bechteler, G.E.Lee, Schaf.-Verw. & Heinrichs	botanical	
https://id.biodiversity.org.au/name/ausmoss/198414	genus	Alobiella (Spruce) Schiffn.	Alobiella				(Spruce) Schiffn.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001405	genus	Aloina Kindb.	Aloina				Kindb.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10005915	species	Aloina aloides (F.W.Schultz) Kindb.		Aloina	aloides		(F.W.Schultz) Kindb.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006552	variety	Aloina aloides var. ambigua (Bruch & Schimp.) E.J.Craig		Aloina	aloides	ambigua	(Bruch & Schimp.) E.J.Craig	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002150	species	Aloina ambigua (Bruch & Schimp.) Limpr.		Aloina	ambigua		(Bruch & Schimp.) Limpr.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002282	species	Aloina bifrons (De Not.) Delgad.		Aloina	bifrons		(De Not.) Delgad.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003195	species	Aloina rigida (Hedw.) Limpr.		Aloina	rigida		(Hedw.) Limpr.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002151	species	Aloina sullivaniana (Müll.Hal.) Broth.		Aloina	sullivaniana		(Müll.Hal.) Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001200	family	Amblystegiaceae G.Roth	Amblystegiaceae				G.Roth	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001618	genus	Amblystegiella Loeske	Amblystegiella				Loeske	botanical	nom. illeg.
https://id.biodiversity.org.au/name/ausmoss/10003275	species	Amblystegiella tenuifolia (Hedw.) M.Fleisch.		Amblystegiella	tenuifolia		(Hedw.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001448	genus	Amblystegium Schimp.	Amblystegium				Schimp.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002283	species	Amblystegium austrohygrophilum Broth.		Amblystegium	austrohygrophilum		Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003276	species	Amblystegium austropalustre Broth.		Amblystegium	austropalustre		Broth.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003277	species	Amblystegium austroserpens Broth. ex Rodway		Amblystegium	austroserpens		Broth. ex Rodway	botanical	nom. illeg.
https://id.biodiversity.org.au/name/ausmoss/10003278	species	Amblystegium campylopodioides Broth. ex Burges		Amblystegium	campylopodioides		Broth. ex Burges	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003279	species	Amblystegium convolutifolium (Hampe) A.Jaeger		Amblystegium	convolutifolium		(Hampe) A.Jaeger	botanical	
