scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/ausmoss/210393	Jungermannia falciloba (Lehm.) Hook.f. & Taylor	https://id.biodiversity.org.au/name/ausmoss/120475	Frullania falciloba Taylor ex Lehm.
https://id.biodiversity.org.au/name/ausmoss/131042	Jungermannia hasskarliana (Nees) Mitt.	https://id.biodiversity.org.au/name/ausmoss/211280	Alicularia hasskarliana Nees
https://id.biodiversity.org.au/name/ausmoss/211268	Jungermannia hombroniana (Mont.) Hook.f. & Taylor	https://id.biodiversity.org.au/name/ausmoss/211275	Gottschea hombroniana Mont.
https://id.biodiversity.org.au/name/ausmoss/201062	Jungermannia infusca (Mitt.) Steph.	https://id.biodiversity.org.au/name/ausmoss/211610	Plectocolea infusca Mitt.
https://id.biodiversity.org.au/name/ausmoss/210229	Jungermannia marginata Mitt.	https://id.biodiversity.org.au/name/ausmoss/210228	Leioscyphus marginatus Mitt. ex Steph.
https://id.biodiversity.org.au/name/ausmoss/210301	Jungermannia monodon var. novae-hollandiae (Gottsche ex Nees) Nees	https://id.biodiversity.org.au/name/ausmoss/210303	Jungermannia contracta var. novae-hollandiae Gottsche ex Nees
https://id.biodiversity.org.au/name/ausmoss/211295	Jungermannia montana (Steph.) Steph.	https://id.biodiversity.org.au/name/ausmoss/211310	Nardia montana Steph.
https://id.biodiversity.org.au/name/ausmoss/210024	Jungermannia novaehollandiae (Lindenb. & Gottsche ex Nees) Taylor & Hook.f.	https://id.biodiversity.org.au/name/ausmoss/210023	Mastigobryum novaehollandiae Lindenb. & Gottsche ex Nees
https://id.biodiversity.org.au/name/ausmoss/201064	Jungermannia obliquifolia (Schiffn.) Vana	https://id.biodiversity.org.au/name/ausmoss/211291	Nardia obliquifolia Schiffn.
https://id.biodiversity.org.au/name/ausmoss/125150	Jungermannia orbiculata (Colenso) Grolle	https://id.biodiversity.org.au/name/ausmoss/211292	Gymnomitrion orbiculatum Colenso
https://id.biodiversity.org.au/name/ausmoss/168585	Jungermannia pusilla (Mont.) Hook.f. & Taylor	https://id.biodiversity.org.au/name/ausmoss/210031	Plagiochila pusilla Mont.
https://id.biodiversity.org.au/name/ausmoss/209722	Jungermannia urvilleana (Mont.) Hook.f. & Taylor	https://id.biodiversity.org.au/name/ausmoss/209712	Plagiochila urvilleana Mont.
https://id.biodiversity.org.au/name/ausmoss/210017	Jungermannia vertebralis Taylor ex Gottsche, Lindenb. & Nees	https://id.biodiversity.org.au/name/ausmoss/210016	Scapania vertebralis Taylor ex Gottsche, Lindenb. & Nees
https://id.biodiversity.org.au/name/ausmoss/10004704	Juratzkaea leptura (Taylor) W.A.Weber & W.R.Buck	https://id.biodiversity.org.au/name/ausmoss/10004559	Hypnum lepturum Taylor
https://id.biodiversity.org.au/name/ausmoss/10002991	Kiaeria pumila (Mitt.) Ochyra	https://id.biodiversity.org.au/name/ausmoss/10006292	Symblepharis pumila Mitt.
